rep,length,sample_size,mutation_rate,generations,N,S,E,Nmax,R
0,5,1091,1e-05,200,1091,8,0.1266,1084,2.5917563863489868
0,5,42,1e-05,200,42,1,1.0,42,nan
0,5,674,1e-05,200,674,3,0.3353,672,1.0606601717798214
0,5,576,1e-05,200,576,9,0.1155,565,2.7841593611209459
0,5,14,1e-05,200,14,1,1.0,14,nan
0,5,2400,1e-05,200,2400,12,0.0845,2384,3.2892024686800894
0,5,12,1e-05,200,12,1,1.0,12,nan
0,5,725,1e-05,200,725,7,0.1461,717,2.3814331769833208
0,5,39,1e-05,200,39,1,1.0,39,nan
0,5,348,1e-05,200,348,2,0.5029,347,0.0
0,5,369,1e-05,200,369,3,0.337,367,1.0606601717798212
0,5,34,1e-05,200,34,1,1.0,34,nan
0,5,343,1e-05,200,343,1,1.0,343,nan
0,5,27,1e-05,200,27,2,0.5384,26,0.0
0,5,246,1e-05,200,246,1,1.0,246,nan
0,5,38,1e-05,200,38,2,0.527,37,0.0
0,5,52,1e-05,200,52,1,1.0,52,nan
0,5,94,1e-05,200,94,2,0.5108,93,0.0
0,5,330,1e-05,200,330,1,1.0,330,nan
0,5,240,1e-05,200,240,3,0.3389,238,1.0606601717798212
0,5,30,1e-05,200,30,1,1.0,30,nan
0,5,11,1e-05,200,11,1,1.0,11,nan
0,5,33,1e-05,200,33,2,0.5312,32,0.0
1,5,1648,1e-05,200,1648,9,0.1133,1632,2.7842147675913043
1,5,802,1e-05,200,802,4,0.2525,798,1.5395942508585319
1,5,22,1e-05,200,22,1,1.0,22,nan
1,5,83,1e-05,200,83,2,0.5122,82,0.0
1,5,2004,1e-05,200,2004,9,0.1125,1992,2.7842268538728541
1,5,2020,1e-05,200,2020,12,0.0848,2002,3.2892073320313311
1,5,2217,1e-05,200,2217,10,0.1011,2205,2.962960420942041
1,5,1278,1e-05,200,1278,7,0.1442,1272,2.3814483610392005
1,5,1865,1e-05,200,1865,6,0.1677,1859,2.1466239152687416
1,5,28,1e-05,200,28,2,0.537,27,0.0
1,5,338,1e-05,200,338,2,0.503,337,0.0
1,5,571,1e-05,200,571,4,0.2526,568,1.5396007178390021
1,5,285,1e-05,200,285,3,0.3381,283,1.0606601717798214
1,5,61,1e-05,200,61,2,0.5167,60,0.0
1,5,170,1e-05,200,170,3,0.3413,168,1.0606601717798212
1,5,208,1e-05,200,208,3,0.3398,206,1.0606601717798216
1,5,2795,1e-05,200,2795,16,0.0636,2771,3.8557631012130011
1,5,957,1e-05,200,957,2,0.501,956,0.0
1,5,2537,1e-05,200,2537,12,0.0847,2517,3.2892068722124632
1,5,50,1e-05,200,50,1,1.0,50,nan
1,5,1121,1e-05,200,1121,7,0.1452,1112,2.3814412642717877
1,5,779,1e-05,200,779,9,0.1134,771,2.7842329509220329
1,5,2558,1e-05,200,2558,12,0.0843,2543,3.2892121232810134
2,5,826,1e-05,200,826,8,0.1275,818,2.591748780932114
2,5,22,1e-05,200,22,1,1.0,22,nan
2,5,27,1e-05,200,27,1,1.0,27,nan
2,5,10,1e-05,200,10,1,1.0,10,nan
2,5,393,1e-05,200,393,3,0.3367,391,1.0606601717798212
2,5,71,1e-05,200,71,1,1.0,71,nan
2,5,138,1e-05,200,138,3,0.3432,136,1.0606601717798212
2,5,570,1e-05,200,570,6,0.1696,565,2.1466252583997982
2,5,972,1e-05,200,972,6,0.1684,967,2.1466252583997978
2,5,2352,1e-05,200,2352,11,0.0921,2337,3.1306496759510796
2,5,2223,1e-05,200,2223,13,0.0784,2202,3.440034096907119
2,5,41,1e-05,200,41,2,0.525,40,0.0
2,5,138,1e-05,200,138,3,0.3432,136,1.0606601717798212
2,5,27,1e-05,200,27,1,1.0,27,nan
2,5,21,1e-05,200,21,1,1.0,21,nan
2,5,1869,1e-05,200,1869,12,0.0848,1853,3.2892095300702482
2,5,234,1e-05,200,234,3,0.3391,232,1.0606601717798214
2,5,1086,1e-05,200,1086,9,0.1134,1075,2.784223126174501
2,5,2337,1e-05,200,2337,11,0.092,2323,3.1306497309120043
2,5,70,1e-05,200,70,2,0.5145,69,0.0
2,5,360,1e-05,200,360,5,0.2045,356,1.875
2,5,50,1e-05,200,50,2,0.5204,49,0.0
2,5,850,1e-05,200,850,11,0.0933,839,3.1306467953993526
3,5,687,1e-05,200,687,6,0.1696,681,2.1466152309419431
3,5,25,1e-05,200,25,2,0.5416,24,0.0
